coin	hourly	change	granular	time_stamp
Bitcoin	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Ethereum	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Tether	0.3	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Binance Coin	0.2	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Cardano	0.2	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Dogecoin	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
XRP	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
USD Coin	0	negative	neutral (0%)	2021-06-26T21:30:07Z
Polkadot	0	negative	neutral (0%)	2021-06-26T21:30:07Z
Binance USD	0.1	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Bitcoin Cash	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Litecoin	-0	negative	neutral (0%)	2021-06-26T21:30:07Z
Uniswap	-0.2	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Solana	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Chainlink	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Polygon	-0.5	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Theta Network	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Wrapped Bitcoin	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Stellar	0.3	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Ethereum Classic	0	negative	neutral (0%)	2021-06-26T21:30:07Z
Dai	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
VeChain	-1.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
TRON	-0.7	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Filecoin	0.5	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Internet Computer	-1.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Shiba Inu	0.5	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
cUSDC	-0.3	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
 Monero	0.3	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
EOS	-0.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
cDAI	-0.3	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Amp	-1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
OKB	-0.7	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Algorand	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Crypto.com Coin	-0.6	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Klaytn	0.3	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Bitcoin SV	-0.2	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Aave	-0.6	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
PancakeSwap	-0.3	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Celsius Network	-0.3	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Cosmos	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Theta Fuel	2.1	positive	warm (2-4%)	2021-06-26T21:30:07Z
NEO	-0.3	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Terra	-0.5	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
LEO Token	-0.6	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
IOTA	-0.8	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
cETH	-0.7	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Tezos	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
FTX Token	-0.5	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
TerraUSD	0.2	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Maker	-0.2	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Avalanche	-0.3	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
SafeMoon	-0.5	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Huobi Token	-0.3	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Hedera Hashgraph	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
